Ccruxx, Ovaria, Site192, 1.0
Sal9, Hpruss, Site307, 1.0
Acubic, Heryth, Site116, 1.0
Bracin, Ofoeti, Site002, 1.0
Bbrevi, Enigri, Site029, 1.0
Etorym, Ocolla, Site009, 1.0
Pponta, Oobscu, Site020, 1.0
Etorym, Ohasta, Site053, 1.0
Eacicu, Ovimin, Site113, 1.0
Chalci, Elanat, Site074, 1.0
Chalci, Obridg, Site020, 1.0
Sal9, Hpruss, Site116, 1.0
Sal9, Obridg, Site259, 1.0
Sal34, Eatraa, Site251, 1.0
Eacicu, Okriec, Site243, 1.0
Ccruxx, Emucro, Site141, 1.0
Broman, Odolic, Site047, 1.0
Chalci, Oviril, Site027, 1.0
Chalci, Osamol, Site078, 1.0
Celong, Hpolit, Site116, 1.0
Sal12, Oproxi, Site117, 1.0
Pdolic, Okriec, Site001, 1.0
Celong, Hleuca, Site260, 1.0
Sal1, Oelaea, Site022, 1.0
Lflexi, Osamol, Site053, 1.0
Sal12, Oproxi, Site248, 1.0
Celong, Hspira, Site221, 1.0
Sal16, Oarcti, Site073, 1.0
Chalci, Eweiff, Site287, 1.0
Pdolic, Ofoeti, Site035, 1.0
Chalci, Obridg, Site122, 1.0
Celong, Hspirh, Site026, 1.0
Pponta, Oobscu, Site192, 1.0
Svesic, Oviril, Site289, 1.0
Chalci, Oadaph, Site109, 1.0
Sal14, Elappo, Site016, 1.0
Peuura, Ehasta, Site151, 1.0
Ealbit, Oproxi, Site241, 1.0
Bracin, Ocolla, Site009, 1.0
Esalic, Eaurit, Site181, 1.0
Chalci, Olappo, Site046, 1.0
Pnemat, Obridg, Site065, 1.0
Sal14, Hacuti, Site047, 1.0
Peuura, Eboreo, Site107, 1.0
Chalci, Osamol, Site015, 1.0
Eacicu, Oglauc, Site046, 1.0
Pdolic, Ovaria, Site055, 1.0
Ichnin, Ehasta, Site071, 1.0
Enobbe, Emucro, Site169, 1.0
Bracin, Oglauc, Site237, 1.0
Sal14, Olappo, Site050, 1.0
Ilappo, Oarcti, Site053, 1.0
Celong, Hpruss, Site060, 1.0
Apusil, Halien, Site139, 1.0
Sal25, Emucro, Site180, 1.0
Epygma, Olappo, Site046, 1.0
Chalci, Hleuca, Site271, 1.0
Celong, Hplicl, Site353, 1.0
Peuura, Ehasta, Site107, 1.0
Svesic, Oproxi, Site249, 1.0
Etorym, Osamol, Site143, 1.0
Strico, Hischn, Site283, 1.0
Svesic, Odolic, Site077, 1.0
Sal6, Hplicd, Site104, 1.0
Broman, Omyrsi, Site046, 1.0
Sal24, Oretus, Site028, 1.0
Sal23, Oretic, Site055, 1.0
Slappo, Oobscu, Site028, 1.0
Pcynip, Okriec, Site023, 1.0
Sal18, Ogalla, Site019, 1.0
Sal12, Etesta, Site320, 1.0
Sal3, Hischn, Site159, 1.0
Eacicu, Omyrti, Site143, 1.0
Sal18, Hanoma, Site359, 1.0
Pdolic, Emyrsi, Site020, 1.0
Broman, Ovimin, Site188, 1.0
Sal30, Emyrti, Site083, 1.0
Sal3, Hischn, Site163, 1.0
Chalci, Ohasta, Site213, 1.0
Sal31, Hangli, Site327, 1.0
Bdisco, Oproxi, Site061, 1.0
Sal18, Hleuco, Site325, 1.0
Chalci, Ephyli, Site285, 1.0
Svesic, Ovaria, Site033, 1.0
Sal2, Hspira, Site252, 1.0
Sal9, Eciner, Site169, 1.0
Chalci, Obridg, Site088, 1.0
Ilappo, Oarcti, Site073, 1.0
Ichnin, Obridg, Site221, 1.0
Chalci, Eatraa, Site115, 1.0
Pdolic, Ovaria, Site277, 1.0
Sal13, Ocolla, Site131, 1.0
Sal14, Hacuti, Site053, 1.0
Chalci, Onival, Site047, 1.0
Svesic, Oadaph, Site096, 1.0
Chalci, Ohasta, Site071, 1.0
Pponta, Oherba, Site075, 1.0
Sal3, Ovaria, Site035, 1.0
Svesic, Omonti, Site100, 1.0
Etorym, Oadaph, Site102, 1.0
Sal9, Hspecc, Site333, 1.0
Sal15, Omyrsi, Site285, 1.0
